,Topic,Word,Tweets
0,12,accessible,Thank you so much @ShanofMohammed for collecting my work. Your support will help me to work on Inclusive NfT platform and make accessible for fellow deaf Artists. ❤️
1,12,accessible,"This was one of our biggest weeks in web3:

✅Minting DAPP completed
✅7 Twitter spaces done &amp; dusted
✅2 interviews in the works 
✅1 team member offer sent

Everyday we meet more folks that share our vision. A world that is accessible, inclusive &amp; equitable for all✊🏽🌈 https://t.co/sdztb6gVt0"
2,12,accessible,"we at @DeafCollective are honored to collaborate with @NamasteyNFT to make event more inclusive and accessible for artists with Disabilities. 

It's quite thrilling for us to understand  through interpreters. Hoping to see such more events in other part of the world ❤️🤟 #NFT https://t.co/4jKyCT1oHJ"
3,12,accessible,"PixelSaurus is an #NFT collection for the whole family to collect. Our fun, non-generative designs are diverse and inclusive and our 2 collections are priced from just 0.02 &amp; 0.03 ETH, to make them accessible. We’re also verified on @opensea! #NFTs 

🦕🦖 https://t.co/9gDe9ggcs5 https://t.co/bNzyyIwtJc"
4,12,accessible,"goodnight to those who seek to make web3 more inclusive and accessible for all, we see you!"
0,12,absolutely,"@NFTethics Never said anyone should remain silent.

No one is perfect, we should absolutely be weighing both the good and the bad.

Evaluation is important."
1,12,absolutely,"I am all for 'influencers' receiving NFT/ETH in return for promoting a project, so long as it is done in a way of transparency and integrity.

I personally would disclose if I was paid to promote something and I would absolutely not do anything to take advantage of the community."
2,12,absolutely,"Ironically the 2 biggest rules for NFTs are:

 - Make friends with everyone
 - Trust absolutely no one"
3,12,absolutely,"@3dlyfer This is mind blowingly insane. Really appreciate you not taking on the blind-trust aspect, I feel that it could potentially lead to someone out there harming people 🖤 absolutely love this work and will collect asap"
4,12,absolutely,"@gmhannah You’re absolutely right, the Mellies are of the best, most inclusive and support communities in web3! ❤️"
0,12,actually,"🏇 #DeRace is enabling gamers to actually monetize their hobby and experience the ultimate gaming universe with #NFTs

⚡️ Using #blockchain technology allows to ensure absolute transparency and security for the community

#NFT #PlayToEarn #P2Egaming https://t.co/W05Wu4Vk7N"
1,12,actually,"3/ Other people also found connections between the 2 projects. We saw that yesterday an article was published that said that we were paid to publish FUD and that we are unethical.

It actually looks like someone paid to make it look as if we were wrong.

https://t.co/T4PXr56HMF https://t.co/ZdkJq5WQE3"
2,12,actually,@NFTethics Anyone else find it weird that some anonymous account is here judging every other anonymous team or project with seemingly little evidence to actually back things?
3,12,actually,"14/ I then begin to look for clues on who the team actually is. 

I check the chain &amp; find clear ties to two different million dollar NFT rug pulls (first noticed by @NFTethics ) Ancient Cats Club &amp; Crazy Camels.

See below how the transactions tie back to two CEX accounts. https://t.co/KQveVsTwxr"
4,12,actually,"12/ To be fair to Beanie, he actually contributed in many ways to the NFT space. His tweets were intelligent and engaging about interesting projects, and nothing compared to what we currently see with scam rings using the “Follow, Retweet &amp; WL/Giveaway”, incentivized by greed."
0,12,ability,"Be part of a project with a long term commitment to the #NFT space!

PixelSaurus is a fun, family friendly, diverse &amp; inclusive collectible that also embraces disability. 🫂🦕🦖

We’re over 75% through our current mint &amp; invite you to join the story👇

🔗 https://t.co/AibesNcvw9 https://t.co/MOcpaN1fXn"
1,12,ability,"@DeanSteinerNFT PixelSaurus! The fun, collectible NFT collection!
Adopt a PixelSaur and #JoinTheStory! Over 250+ diverse designs (so far) that also embrace disability, mental health issues and phobias. Each PixelSaur has their own backstory, role, region &amp; pronouns. https://t.co/jk61Izkks4"
2,12,ability,"Gas is LOW!! 😱
PixelSaurs live in a secret world beneath us called the Inner Earth. They're diverse and they also embrace disability, mental health issues &amp; phobias! #NFT

Come and ADOPT your new best friend! 👇
🦕 Bronto: https://t.co/CRayy1D9KE
🦖 Rex: https://t.co/itStVzAvTP https://t.co/2ntzoIJZYA"
