,Topic,Word,Tweets
0,11,actually,"@NFTherder @youbekindtoday FUD stands for Fear, Uncertainty, and Doubt. Maybe the NFT space could actually use a little bit more of that and use it as an incentive to find mechanisms to get rid of all the bad and nefarious actors in this space. Ironic that we are constantly called out."
1,11,actually,"Did you know only 35% of applicants are actually qualified for the jobs they apply for? 😳That's why we designed #TrustRecruit to match you with #verified and trusted NFT resumes. 👈🏿👩🏽‍🎓🧑🏿‍🎓💯💼 

#NFTresume #recruit #consultancy #nft #nftcv https://t.co/xYddBdiXSa"
2,11,actually,"The Fame Lady Squad Saga: Transparency and a Reboot for a Women-Led NFT

Written by @hollydmoore 
August 30 2021

When it was discovered that a $150 Million ‘women-led #NFT was actually run by some Russian guys.

""Importance of #community &amp; #transparency!""
https://t.co/RWG5v25Mae"
3,11,actually,"10/ We see messages about ""diversity"", but they probably do not realize that if you take out such a big amount of ETH out of the NFT ecosystem with a $100m mint, you are actually making this space less diverse. https://t.co/m9J3mxeJEn"
4,11,actually,"10/ As an important player in the crypto/NFT space, do you think that MoonPay should (continue to) provide a service that actually makes transactions less transparent? It is now for example not possible for us to see if/how much Gwyneth Paltrow paid for her Bored Ape."
0,11,able,"54/ The domain name for Huntingdon Investment was only registered just before the ICO launch, so it only seems to be used to provide credibility to the claim that Beanie was only an “investor” instead of the mastermind behind it. The domain is currently available to register... https://t.co/jpNxPFGcat"
1,11,able,"@Utd_SocietyNFT @randomfrankp @cryptocomnft NFTs are about transparency vs technical “prevention.” This is similar to an artist selling a limited edition print - they can technically lie and make more, but then their reputation is tarnished forever. 

This is not an acceptable practice. Buy from more respectable artists."
2,11,able,"Listed the ND 100
Because Girls are more than just Pretty don't forget to values their qualities tell them how capable they are 
and they will become confident women who know they deserve respect, equality  #NFTs #NFTCollection #empoweringwomen #notdoll https://t.co/apS5g8uOUu https://t.co/MWoyXqYIAJ"
3,11,able,Just so that people are aware: we always keep all our sources and DMs confidential. We will never share proof or evidence that is personally identifiable (unless given explicit permission). We want the NFT space to thrive with the actors it deserves. We have no affiliations.
4,11,able,"This is a must read for anyone, but especially for those that are new(ish) to the NFT space and are planning to mint any project today, tomorrow, or in the coming week(s). Be able to spot the red flags!

https://t.co/J0ggOh6FUW"
0,11,absolutely,"some think i talk about @artblocks_io a lot because i own many mints &amp; because i'm a small angel investor in it

but i own those works &amp; equity because i believe it will absolutely become one of the most culturally relevant entities in #NFT history

in fact, i think it already is"
1,11,absolutely,"Gm frens, trust absolutely no one today. CT/NFT twitter is excellent at trolling and people are gonna have a field day for April fools. 😂❤️"
2,11,absolutely,"Not gonna lie, my experience w @BlockpassOrg has been absolutely horrible. No transparency, horrible UI, &amp; support is a joke — they legit require u to buy “priority pass” to reach customer service. 

Do what u will with this information @yugalabs, @BoredApeYC, @animocabrands."
3,11,absolutely,"@NFTethics Never said anyone should remain silent.

No one is perfect, we should absolutely be weighing both the good and the bad.

Evaluation is important."
4,11,absolutely,"@gmhannah You’re absolutely right, the Mellies are of the best, most inclusive and support communities in web3! ❤️"
0,11,act,"3/ Also nepotism is completely standard in the NFT space, so the fact that GaryVee (Gennady), his brother AJ, Beeple and some old friends received the Proof collective for free is standard. We saw quite a lot of other ""old"" friends that received the proof collective for free/$3. https://t.co/o20NOgfIM4"
1,11,act,@NFTethics This for me is red-flag central. I think the NFT community would greatly benefit/learn something if you could use your detective skills to find some more information about exactly what happened here and what the full story is.
2,11,act,"10. Why is that bullish for NFTs? Well tokens can act as a gateway for events. Things like VIP benefits, skipping queues (trust me there were a LOT of queues), access to celebrities, limited edition merch..you name it."
3,11,act,"3/ This (former) ""Trailer Park Kid"" seems to love it all. His background is quite similar to many ""Web3 influencers"". The best ""Tinder/Twitter swindlers"" across the globe have united and they are all active in crypto/NFTs. They have all it takes to make it in this space. WAGMI! https://t.co/LM39p887uS"
4,11,act,Dear Amir (@mondoir) - a quick reminder to let you know that your company accounts are overdue. Just letting you know in case you don't have an accountant or they were not able to contact you. Always happy to help. https://t.co/g5lCAxKnNi
0,11,action,2/2 - We did however not see Beanie/GM Capital listed as a formal investor on any of the publicly disclosed funding rounds. Would you be willing to clarify if/how he invested in Fractional and if you are in the process of disassociating from him after his exposure? https://t.co/xvAMJ4LVFZ
1,11,action,"Birthday plan

appetiser with @PPA_NFT 
Dinner with @NubbiesNFT 
Dessert with @leapnverse 

This is not sacrifice. This is ❤️ for this space.

People want action everyday. Godjira not the project you are after. 

We don’t want news leak to just pump and dump. We trust the process https://t.co/sVA8W4iGm4"
2,11,action,"🎉 @PolkaFantasy NFT Marketplace to goes LIVE! on December 7.

🎆 #PolkaFantasy is a Japanese NFT cross-chain marketplace &amp; multiverse game that offers diverse functionalities across a cross-chain marketplace with low transaction costs.

🔽INFO
https://t.co/QabJ5DeflO
#SNN1 #NFT https://t.co/DsXF4Fzv2k"
3,11,action,"19/ Next on the list is a profile named “ZLOVE11”. Via some blockchain transactions, an IG profile and a website, we were able to find this person’s identity, which could be a friend of one of the BAYC founders as he resides in Miami. https://t.co/pu20h0ZPCo"
4,11,action,"18/ This can be based on different metrics: the repetitiveness/originality of messages, the amount of deleted messages, the number of times people are blocked by this account, the number of times the handle has changed, ratio of followers to friends, interaction, etc."
0,11,accessible,"We’re doing onboarding different. 

Our Mentorship Program matches mentees to diverse leaders in web3.

And, we’re creating a FREE onboarding course that breaks down web3 &amp; NFTs and makes crypto less cryptic. 

Bc accessible education 🤝 empowered individuals = a diverse #web3."
