,Topic,Word,Tweets
0,16,new,@NFTethics This is my new favorite account
1,16,new,"@MacMuzzin @fishyfamNFT fucking sloppy or a cheap money grab, either way, its a another straw on camels back for NFT PFPs. This type of activity will normalize others and continue a dilution of future project value and trust. There are solid projects but its the expectations of new ones that worry me."
0,16,item,"@bitgetglobal @duckienft NFT blockchain game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would Duckie Land promotes fairness and equality to its players? Do the skills of the players matters more than the character?"
1,16,item,"Limited collection of your nft fox pixels with a variety of unique and diverse fox works. a unique digital collection that lives on the Ethereum blockchain.

Check out this item on OpenSea https://t.co/OlKrCk3AXp @opensea

#NFT #Polygon #Ethereum #Opensea #PixelFox #NFT #NftArt"
0,16,character,"@JDHyper i’m not a big fan of the idea that NFT game “character” assets should have a burn mechanic. items, yes. characters? never. so no, axies don’t need a sink, what it needs is a utility more diverse than what it has now, which is simply to farm SLP, which causes its inflation."
1,16,character,"@NFTethics @MutantXApe @SmartBeast_nft project has exactly the same characteristics. Unknown team, no roadmap, 0.2 minting price. Scam starting this week. Lots of WL people banned. Watch out"
0,16,soon,"@SatoshiRipper @PrimatesSociety Trust me this project is a mouth watering one and I'm interested.
Can't wait to invest and besides make X100 reflections
#NFT Launching soonest"
1,16,soon,"I hope i'am a lucky winner soon!
Btw thanks for make this awesome project , i trust you guys have a awesome team. Keep work hard! We'll support your project 

@namilkiest
@xerahwaifu
@arg1an 

#GreenLand #NFT #Airdrop #BSCGem"
0,16,nft,"@bronwyn_nft Hi!  Open your DM's, love to see that you are working on diversity, equality, and inclusion!  I can help you manifest 🙂✌️"
1,16,nft,@jackalopekin I need help metamask ethereum nft seed phrase account instagram facebook hacked i need graphic designer need logo designer i got hacked need someone to help me write this essay about trust wallet my account got disabled @OnAuthoritybot @AnarchistFaq
0,16,matter,"In fairness though I always know that no matter how lonely I am, I’ve still got those message requests promoting those random NFT projects if I ever needa talk to someone. 

“Don’t sleep on the IMPOTENT ELEPHANTS there’s only…” 

“I’m not too bad thanks for asking”"
1,16,matter,"@CreatureToadz The creature toadz are so diverse and unique. This is truly a great collection with alot of references to some cool NFT history/projects. Great job @SkiranoETH @CreatureToadz 

I feel comfortable saying rarity doesn't matter with this one at all."
0,16,player,"🔥We are thrilled to announce @BattleVerse_io &amp; @EarnGuild  #partnership!🔥

Earn Guild is building a global player community around a diverse range of #P2E games.🦾

We're sure the active community of this guild will help us make some noise about #BattleVerse #NFT #Metaverse!🚀 https://t.co/cb5LqEUlxi"
1,16,player,"@Cryptocrowdnews @DopamineGAME @CryptoCrowd2011 Many NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would @DopamineGAME promotes fairness and equality to its players? Do the skills of the players matters more than the character?"
0,16,wait,"Guys, I am still waiting on my NFT from @TimWithStocks. I don't think you can either follow him or trust him."
1,16,wait,"This is excellent project for the future with strong team, a transparent, planned and project roadmap it will be successful. Always be waiting for the progress of this project. 

@Eriardiansyah81
@pumprekt
@FaridHasyim16
$SUKU #NFT #infinitibysuku #Airdrop #CoinMarketCap"
0,16,fairness,"hi Miss Information, do u wanna talk to your soul? 16E for a super rare @Grimezsz  style（soul &amp; hair） NFT, you can talk to yourself and always remember freedom and fairness as little @joinmirrorworld  Grime says.
👇👇
https://t.co/vHlicWu8x2 https://t.co/mlm1QB5WCO"
1,16,fairness,"Check out the @ToadNetwork AMA with @XTexchange to learn more about a DEFI future driven by utility, fairness, and safety. This is what a project built on delivering value and security to their users looks like. 

$TOAD $PAD #DeFi #Crypto #NFT 
https://t.co/xvd6oik3VP"
0,16,coming,"Starting tomorrow and every Monday, we will share a weekly update containing goals reached the past week and funds spent and plans for the upcoming week
We Aim to provide transparency and clarity to our community
see you Monday Donut Fam🍩🍩

#NFTCommunity #NFT"
1,16,coming,"A Good and strong team in a predictable and transparent road map. I think in the future we will see a growth of this .Fantastic project.
@adnanh_44
@adnan_h44
@ShantaMiah64 New Great Game @MarsFellows is coming ! 
Win $MAF! #giveaway #NFT https://t.co/MiZwBxQJmM"
